Comment,Designator,Footprint,LCSC
"22pF","C1,C2","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C3,C4,C5","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C6","Capacitor_SMD:C_0805_2012Metric",""
"1uF","C7","Capacitor_SMD:C_0805_2012Metric",""
"D","D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67","Diode_SMD:D_SOD-123",""
"500mA","F1","Fuse:Fuse_1206_3216Metric",""
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"KEYSW","K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_14,K_15,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_30,K_31,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_57,K_65,K_66,K_67","MX_Only:MXOnly-1U-Hotswap",""
"KEYSW","K_13","MX_Only:MXOnly-2U-Hotswap",""
"KEYSW","K_16,K_29","MX_Only:MXOnly-1.5U-Hotswap",""
"KEYSW","K_32","MX_Only:MXOnly-1.75U-Hotswap",""
"KEYSW","K_44,K_45","MX_Only:MXOnly-2.25U-Hotswap",""
"KEYSW","K_56","MX_Only:MXOnly-2.75U-Hotswap",""
"KEYSW","K_58,K_59,K_60,K_62,K_63,K_64","MX_Only:MXOnly-1.25U-Hotswap",""
"KEYSW","K_61","MX_Only:MXOnly-6.25U-Hotswap",""
"10k","R1,R4","Resistor_SMD:R_0805_2012Metric",""
"22","R2,R3","Resistor_SMD:R_0805_2012Metric",""
"5.1k","R5,R6","Resistor_SMD:R_0805_2012Metric",""
"SW_Push","SW1","Button_Switch_SMD:SW_SPST_TL3342",""
"ATmega32U4-M","U1","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",""
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
