Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",-180.975000,-83.185000,-135.000000,bottom
"C2","22pF","C_0805_2012Metric",-180.340000,-77.343000,-45.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-154.432000,-86.518750,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-170.180000,-74.803000,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-172.974000,-88.646000,0.000000,bottom
"C6","10uF","C_0805_2012Metric",-154.432000,-84.201000,180.000000,bottom
"C7","1uF","C_0805_2012Metric",-154.432000,-81.026000,180.000000,bottom
"D_0","D","D_SOD-123",-18.050000,-10.025000,90.000000,bottom
"D_1","D","D_SOD-123",-37.100000,-10.025000,90.000000,bottom
"D_2","D","D_SOD-123",-56.150000,-10.025000,90.000000,bottom
"D_3","D","D_SOD-123",-75.200000,-10.025000,90.000000,bottom
"D_4","D","D_SOD-123",-94.250000,-10.025000,90.000000,bottom
"D_5","D","D_SOD-123",-113.300000,-10.025000,90.000000,bottom
"D_6","D","D_SOD-123",-132.350000,-10.025000,90.000000,bottom
"D_7","D","D_SOD-123",-151.400000,-10.025000,90.000000,bottom
"D_8","D","D_SOD-123",-170.450000,-10.025000,90.000000,bottom
"D_9","D","D_SOD-123",-189.500000,-10.025000,90.000000,bottom
"D_10","D","D_SOD-123",-208.550000,-10.025000,90.000000,bottom
"D_11","D","D_SOD-123",-227.600000,-10.025000,90.000000,bottom
"D_12","D","D_SOD-123",-246.650000,-10.025000,90.000000,bottom
"D_13","D","D_SOD-123",-275.750000,-10.025000,90.000000,bottom
"D_14","D","D_SOD-123",-308.562500,-10.025000,90.000000,bottom
"D_15","D","D_SOD-123",-327.406000,-10.025000,90.000000,bottom
"D_16","D","D_SOD-123",-27.575000,-29.075000,90.000000,bottom
"D_17","D","D_SOD-123",-46.625000,-29.075000,90.000000,bottom
"D_18","D","D_SOD-123",-65.675000,-29.075000,90.000000,bottom
"D_19","D","D_SOD-123",-84.725000,-29.075000,90.000000,bottom
"D_20","D","D_SOD-123",-103.775000,-29.075000,90.000000,bottom
"D_21","D","D_SOD-123",-122.825000,-29.075000,90.000000,bottom
"D_22","D","D_SOD-123",-141.875000,-29.075000,90.000000,bottom
"D_23","D","D_SOD-123",-160.925000,-29.075000,90.000000,bottom
"D_24","D","D_SOD-123",-179.975000,-29.075000,90.000000,bottom
"D_25","D","D_SOD-123",-199.025000,-29.075000,90.000000,bottom
"D_26","D","D_SOD-123",-218.075000,-29.075000,90.000000,bottom
"D_27","D","D_SOD-123",-237.125000,-29.075000,90.000000,bottom
"D_28","D","D_SOD-123",-256.175000,-29.075000,90.000000,bottom
"D_29","D","D_SOD-123",-280.000000,-29.000000,90.000000,bottom
"D_30","D","D_SOD-123",-308.562500,-29.075000,90.000000,bottom
"D_31","D","D_SOD-123",-327.406000,-29.083000,90.000000,bottom
"D_32","D","D_SOD-123",-32.337500,-48.125000,90.000000,bottom
"D_33","D","D_SOD-123",-51.387500,-48.125000,90.000000,bottom
"D_34","D","D_SOD-123",-70.437500,-48.125000,90.000000,bottom
"D_35","D","D_SOD-123",-89.487500,-48.125000,90.000000,bottom
"D_36","D","D_SOD-123",-108.537500,-48.125000,90.000000,bottom
"D_37","D","D_SOD-123",-127.587500,-48.125000,90.000000,bottom
"D_38","D","D_SOD-123",-146.637500,-48.125000,90.000000,bottom
"D_39","D","D_SOD-123",-165.687500,-48.125000,90.000000,bottom
"D_40","D","D_SOD-123",-184.737500,-48.125000,90.000000,bottom
"D_41","D","D_SOD-123",-203.787500,-48.125000,90.000000,bottom
"D_42","D","D_SOD-123",-222.837500,-48.125000,90.000000,bottom
"D_43","D","D_SOD-123",-241.887500,-48.125000,90.000000,bottom
"D_44","D","D_SOD-123",-272.750000,-48.125000,90.000000,bottom
"D_45","D","D_SOD-123",-30.000000,-67.250000,90.000000,bottom
"D_46","D","D_SOD-123",-60.912500,-67.175000,90.000000,bottom
"D_47","D","D_SOD-123",-79.962500,-67.175000,90.000000,bottom
"D_48","D","D_SOD-123",-99.012500,-67.175000,90.000000,bottom
"D_49","D","D_SOD-123",-118.062500,-67.175000,90.000000,bottom
"D_50","D","D_SOD-123",-137.112500,-67.175000,90.000000,bottom
"D_51","D","D_SOD-123",-156.162500,-67.175000,90.000000,bottom
"D_52","D","D_SOD-123",-175.212500,-67.175000,90.000000,bottom
"D_53","D","D_SOD-123",-194.262500,-67.175000,90.000000,bottom
"D_54","D","D_SOD-123",-213.312500,-67.175000,90.000000,bottom
"D_55","D","D_SOD-123",-232.362500,-67.175000,90.000000,bottom
"D_56","D","D_SOD-123",-268.000000,-67.175000,90.000000,bottom
"D_57","D","D_SOD-123",-308.562500,-67.175000,90.000000,bottom
"D_58","D","D_SOD-123",-22.812500,-86.225000,90.000000,bottom
"D_59","D","D_SOD-123",-46.625000,-86.225000,90.000000,bottom
"D_60","D","D_SOD-123",-70.437500,-86.225000,90.000000,bottom
"D_61","D","D_SOD-123",-139.500000,-86.250000,90.000000,bottom
"D_62","D","D_SOD-123",-213.312500,-86.225000,90.000000,bottom
"D_63","D","D_SOD-123",-237.125000,-86.225000,90.000000,bottom
"D_64","D","D_SOD-123",-260.937500,-86.225000,90.000000,bottom
"D_65","D","D_SOD-123",-289.512500,-86.225000,90.000000,bottom
"D_66","D","D_SOD-123",-308.562500,-86.225000,90.000000,bottom
"D_67","D","D_SOD-123",-327.406000,-86.233000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-268.000000,-58.000000,180.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-284.750000,-4.064000,0.000000,bottom
"R1","10k","R_0805_2012Metric",-150.114000,-83.312000,-90.000000,bottom
"R2","22","R_0805_2012Metric",-288.500000,-23.250000,-90.000000,bottom
"R3","22","R_0805_2012Metric",-281.500000,-23.250000,-90.000000,bottom
"R4","10k","R_0805_2012Metric",-164.306250,-92.837000,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",-288.562500,-17.343750,-90.000000,bottom
"R6","5.1k","R_0805_2012Metric",-281.531250,-17.343750,-90.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",-146.939000,-88.562500,0.000000,bottom
"U1","ATmega32U4-M","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-164.431739,-84.137500,-45.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-177.800000,-80.137000,135.000000,bottom
